num_nodes,edge_prob,x_0,x_1,x_2,x_3,depth,num_qubits,rx,rz,cx
12.0,0.7,4.293068202083966,1.4633788984845282,3.1892027412480144,1.590740241731465,357,12,36,160,272
12.0,0.7,4.119300009859852,2.5043127299971286,4.080218325335091,2.6525149544351274,378,12,36,176,304
12.0,0.7,4.223088188885536,1.4505447105912446,3.210681977743022,1.4490521332738298,378,12,36,176,304
12.0,0.7,2.9475056068156373,1.8275073107837012,3.3486576892170112,1.7356161325444366,390,12,36,180,312
12.0,0.7,4.142357216644485,1.589261005150578,4.181275730898092,2.6163267616451984,462,12,36,216,384
12.0,0.7,3.141880386535183,1.3856492195678982,3.1605839722302997,1.7324209032020883,411,12,36,184,320
12.0,0.7,3.1086468674167627,2.790700248055484,2.809938809082723,1.268621035092352,399,12,36,184,320
12.0,0.7,4.137280755042488,1.5759676473085464,3.1527869401123905,2.5200257297137534,390,12,36,180,312
12.0,0.7,4.063821475599958,2.688540362556352,3.041850602527539,1.7124210726623428,357,12,36,168,288
12.0,0.7,4.372318688291639,2.574158791092686,3.2237300952778454,1.5745481078794292,408,12,36,188,328
12.0,0.8,3.1352471403625057,2.79217280904814,2.742608337491845,1.3863520848725444,552,12,36,252,456
12.0,0.8,4.144224849322973,1.5787784420134718,4.140884483355949,1.5761680934669993,474,12,36,220,392
12.0,0.8,4.140415850411135,2.576635812088159,3.143413047995713,1.5786194789725911,426,12,36,192,336
12.0,0.8,4.34919709084129,1.3206201662607002,2.862406769734926,1.3090395041548446,534,12,36,248,448
12.0,0.8,3.146946761830913,2.565370024141265,3.146989736158528,1.5672241755943133,540,12,36,252,456
12.0,0.8,4.361538436507401,2.6375552367615334,3.99239269612519,1.6470896377472175,528,12,36,240,432
12.0,0.8,4.138912814485123,1.5790640420517577,3.1401057460814115,1.5660790762327506,432,12,36,200,352
12.0,0.8,3.649418739161346,1.508546498577103,3.064276441035043,2.5807547440960987,510,12,36,232,416
12.0,0.8,3.077105465594471,0.9177290885558752,4.906073936881167,2.4218390288740084,456,12,36,208,368
12.0,0.8,3.0697125359813957,2.051309675787632,4.989876665853882,0.2477153751972109,438,12,36,196,344
12.0,0.9,4.489492720763959,0.9649806582310356,2.88205652708119,1.2752111312610852,507,12,36,228,408
12.0,0.9,4.132635028898307,1.573824865948433,4.1447899853911885,1.5714012894662734,516,12,36,240,432
12.0,0.9,3.1662271411977976,2.558919277777921,3.1270173504534906,1.596138068291501,504,12,36,232,416
12.0,0.9,4.455073874856262,0.7744177559983446,4.52454699437545,1.9025249190239808,510,12,36,228,408
12.0,0.9,4.612635945721866,3.1976463135134967,3.0154751442505456,2.975285284604412,591,12,36,272,496
12.0,0.9,4.171943979540599,2.652103141794512,3.629002688143476,2.6716650495699814,558,12,36,248,448
12.0,0.9,3.999674465147148,2.875466860058007,2.492680184500909,0.1527959288108156,555,12,36,256,464
12.0,0.9,4.133353637455903,2.598561342634348,3.118270939685091,1.6299338849213278,414,12,36,192,336
12.0,0.9,4.223975893210777,0.4188002737463548,2.685920108588489,1.5453989739031806,600,12,36,276,504
12.0,0.9,4.194195648930905,1.5000963932947002,3.3651963925642607,1.541264414025231,555,12,36,248,448
15.0,0.5,3.975796220447002,1.5037955968008383,3.2129244230092486,2.413098998812549,576,15,45,266,472
15.0,0.5,4.143578593980105,2.567585560426763,3.103859806575729,1.719493507323376,420,15,45,186,312
15.0,0.5,3.130855710866075,2.045412928902928,3.1116812907432334,1.5120123921324768,465,15,45,214,368
15.0,0.5,4.14690519601269,1.5690909632563863,4.137005740645417,1.588161361347405,369,15,45,162,264
15.0,0.5,3.836813395456656,2.115335056666373,3.796813719457426,2.568937982642548,387,15,45,178,296
15.0,0.5,3.139127067239667,1.5677767157541591,3.139532656304732,1.5618208466239938,474,15,45,214,368
15.0,0.5,4.366283684282622,1.8873825938636304,4.16606544768274,1.5828245254756206,471,15,45,218,376
15.0,0.5,4.231710736952143,1.4779093024325909,3.2009621096583687,1.6322151035734735,456,15,45,202,344
